policy,seed,rounds,S,k,top_gap_lambda,transition_dominance,context_noise_level,transition_variant,trust_scale_mult,gate_scale_mult,gate_mode,beta_gate_concentration,trust_floor,trust_cap,support_mask_enabled,avg_reward,cum_reward,oracle_cum_reward,reward_pct_oracle,cum_regret,top1_agreement,top2_agreement,transition_l1_error,off_support_leakage,runtime_seconds,policy_label,experiment_id
local_ucb_tw,20262281,100,50,2,0.0,0.45,0.0,dense,1.0,1.0,deterministic,20.0,0.1,0.95,False,6048.004681122566,604800.4681122566,1185129.4827455562,51.032437967126796,580329.0146332996,0.26,0.48,0.30216656533982206,0.015568425493914871,0.9675809159999744,local_ucb_tw_dense,context_noise_refinement
oracle,20261640,100,50,2,0.0,0.45,0.0,dense,1.0,1.0,deterministic,20.0,0.1,0.95,False,9459.265527585292,945926.5527585292,945926.5527585292,100.0,0.0,1.0,1.0,0.3028084091206821,0.0156085055289433,0.0191619590000016,oracle,context_noise_refinement
oracle,20261641,100,50,2,0.0,0.45,0.0,dense,1.0,1.0,deterministic,20.0,0.1,0.95,False,10731.294827416072,1073129.4827416071,1073129.4827416071,100.0,0.0,1.0,1.0,0.303858942356421,0.0155774619449635,0.0193164590000094,oracle,context_noise_refinement
oracle,20261642,100,50,2,0.0,0.45,0.0,dense,1.0,1.0,deterministic,20.0,0.1,0.95,False,12251.007040762102,1225100.7040762105,1225100.7040762105,100.0,0.0,1.0,1.0,0.3040794818054484,0.0156198633799139,0.0210541249999778,oracle,context_noise_refinement
oracle,20261643,100,50,2,0.0,0.45,0.0,dense,1.0,1.0,deterministic,20.0,0.1,0.95,False,8655.62584833036,865562.5848330361,865562.5848330361,100.0,0.0,1.0,1.0,0.30366332089350034,0.015622588127744945,0.018938042000058886,oracle,context_noise_refinement
oracle,20261644,100,50,2,0.0,0.45,0.0,dense,1.0,1.0,deterministic,20.0,0.1,0.95,False,11150.116495561231,1115011.6495561232,1115011.6495561232,100.0,0.0,1.0,1.0,0.30164303236520035,0.01553823794951979,0.01892145800002254,oracle,context_noise_refinement
oracle,20261645,100,50,2,0.0,0.45,0.0,dense,1.0,1.0,deterministic,20.0,0.1,0.95,False,10746.391731632208,1074639.1731632208,1074639.1731632208,100.0,0.0,1.0,1.0,0.30199475813106164,0.01557243542257224,0.018888666000066223,oracle,context_noise_refinement
oracle,20261646,100,50,2,0.0,0.45,0.0,dense,1.0,1.0,deterministic,20.0,0.1,0.95,False,9834.415758164188,983441.5758164189,983441.5758164189,100.0,0.0,1.0,1.0,0.30383058685995623,0.015644738432362096,0.018833500000027925,oracle,context_noise_refinement
oracle,20261647,100,50,2,0.0,0.45,0.0,dense,1.0,1.0,deterministic,20.0,0.1,0.95,False,11662.526743829443,1166252.6743829444,1166252.6743829444,100.0,0.0,1.0,1.0,0.3063313678943094,0.015678579097648773,0.01881541600005221,oracle,context_noise_refinement
oracle,20261648,100,50,2,0.0,0.45,0.0,dense,1.0,1.0,deterministic,20.0,0.1,0.95,False,7956.342398480326,795634.2398480326,795634.2398480326,100.0,0.0,1.0,1.0,0.3069642746901007,0.01574001937630648,0.018817666999893845,oracle,context_noise_refinement
oracle,20261649,100,50,2,0.0,0.45,0.0,dense,1.0,1.0,deterministic,20.0,0.1,0.95,False,14387.59674950985,1438759.674950985,1438759.674950985,100.0,0.0,1.0,1.0,0.3028568605670179,0.015542310305518057,0.01896970899997541,oracle,context_noise_refinement
state_thompson,20262538,100,50,2,0.0,0.45,0.0,dense,1.0,1.0,deterministic,20.0,0.1,0.95,False,4896.844131278576,489684.4131278576,959438.8788192284,51.03862517334165,469754.4656913708,0.24,0.53,0.3074661177489726,0.0157933263443682,0.0217380420000097,state_thompson,context_noise_refinement
