S,noise,comparison,comparator,best_refined,mean_margin,sd,ci95_low,ci95_high,paired_t_p,wilcoxon_p,positive_seeds,n,significant_0.05
50,0.1,vs baseline,EXP4,Adp. TW + beta support-gated prior + low-rank,3.977440190939221,13.628809268183206,-5.772022639453528,13.726903021331971,0.3801454098450193,0.232421875,8,10,False
50,0.1,vs TW,TW,Adp. TW + beta support-gated prior + low-rank,29.754072559643134,14.46031143422725,19.409788912426514,40.098356206859755,0.00011057068882732689,0.001953125,10,10,True
50,0.2,vs baseline,EXP4,Adp. TW + beta gated prior + low-rank,7.007976297899094,9.78072077647579,0.011270144903497759,14.004682450894691,0.04970308110121946,0.048828125,7,10,True
50,0.2,vs TW,TW,Adp. TW + beta gated prior + low-rank,28.496133732946692,18.19532184195497,15.479984596623721,41.51228286926966,0.0007885707930590401,0.005859375,9,10,True
50,0.3,vs baseline,EXP4,Adp. TW + support/offline prior,2.069085060627166,12.311638852715554,-6.738130816697269,10.876300937951601,0.6079720286999291,0.76953125,5,10,False
50,0.3,vs TW,TW,Adp. TW + support/offline prior,23.756748783908893,10.699618838347243,16.102702556454254,31.410795011363533,6.177789885607215e-05,0.001953125,10,10,True
100,0.0,vs baseline,EXP4,Adp. TW + beta gated prior,15.733581923409792,24.45281171765443,-1.7589058096469063,33.22606965646649,0.07238345992651325,0.064453125,8,10,False
100,0.0,vs TW,TW,Adp. TW + beta gated prior,33.35614276753446,9.010191619802505,26.910639968030466,39.80164556703845,9.502632186941263e-07,0.001953125,10,10,True
100,0.1,vs baseline,EXP4,Adp. TW,17.35766612478343,17.581165198062795,4.780858185027348,29.934474064539515,0.01227744558515782,0.00390625,9,10,True
100,0.1,vs TW,TW,Adp. TW,28.842329880367778,10.693918488583373,21.19236143748327,36.492298323252285,1.3225535810989552e-05,0.001953125,10,10,True
100,0.2,vs baseline,EXP4,Adp. TW + beta support-gated prior + low-rank,12.499791645083175,16.959168461576212,0.36793336627498086,24.631649923891366,0.04469121186799335,0.10546875,6,10,True
100,0.2,vs TW,TW,Adp. TW + beta support-gated prior + low-rank,22.499776943271293,14.69509173796933,11.987541584382734,33.01201230215985,0.0009187390608158274,0.001953125,10,10,True
100,0.3,vs baseline,EXP4,Adp. TW + beta gated prior,-2.899889822206789,13.865640776116896,-12.818771707355538,7.018992062941959,0.5249459309668052,0.4921875,5,10,False
100,0.3,vs TW,TW,Adp. TW + beta gated prior,20.353897080250697,7.305487745454527,15.127865969926614,25.57992819057478,1.0158611424263375e-05,0.001953125,10,10,True
