S,context_noise_level,trust_scale_mult,gate_scale_mult,gate_mode,trust_floor,policy_label,n,mean_reward_pct_oracle,mean_transition_l1_error,mean_off_support_leakage,mean_top1_agreement,mean_top2_agreement,mean_cum_regret
20,0.0,1.0,1.0,deterministic,0.1,tm_tw_support_offline,10,66.15149305831963,0.08907805599347571,3.079565069293164e-07,0.41200000000000003,0.663,313543.0348254066
20,0.0,1.0,1.0,deterministic,0.1,tw_dense,10,56.08264141188194,0.23332119612303792,0.02464963366796456,0.331,0.596,404895.16958940943
20,0.0,1.0,1.0,deterministic,0.1,tw_gated_offline,10,67.47147934952783,0.16049879238476056,0.01886139432423181,0.46699999999999997,0.6990000000000001,313318.2221808232
20,0.0,1.0,1.0,deterministic,0.1,tw_gated_offline_low_rank,10,54.68824696655374,0.15709987656358643,0.018597655312541542,0.384,0.607,433841.6637517075
20,0.0,1.0,1.0,deterministic,0.1,tw_support_offline,10,60.84291760723448,0.0906052270992508,3.0179066962164526e-07,0.422,0.61,367791.213601473
20,0.0,2.0,0.25,beta,0.1,tm_tw_refined_gated_offline_best_beta,10,86.82293873064224,0.16141126153836743,0.0193564674585242,0.549,0.786,118925.6755983226
20,0.0,2.0,0.5,beta,0.1,tm_tw_refined_gated_offline_low_rank_best_beta,10,87.7206993683773,0.16048296741546647,0.019068389754324892,0.571,0.7859999999999999,117360.48327445402
20,0.1,0.5,0.25,beta,0.1,tm_tw_refined_support_gated_offline_low_rank_best_beta,10,85.09119694703371,0.09046312019310807,0.0038834383756804203,0.577,0.8029999999999999,152180.01737413008
20,0.1,0.5,0.5,beta,0.1,tm_tw_refined_gated_offline_best_beta,10,83.42402037619341,0.17468839582539653,0.02229994023612397,0.538,0.762,156245.70393199194
20,0.1,0.5,1.0,beta,0.1,tm_tw_refined_gated_offline_low_rank_best_beta,10,82.21102559551896,0.1734958279684124,0.02218169791311666,0.523,0.771,166397.21330820836
